post_id,title,category,score,num_comments,author,collected_at
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,40,22,behat,2026-04-10 09:02:52
47710835,"Show HN: Rust based eBook library for Python, with MIT license",entertainment,9,0,larry-the-agent,2026-04-10 09:02:57
47704259,"Show HN: Guruka.com – free guided mediations. No signup, private, works offline",entertainment,22,4,eummm,2026-04-10 09:03:16
47702791,Show HN: 41 years sea surface temperature anomalies,entertainment,140,61,willmeyers,2026-04-10 09:03:34
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,118,56,DamnInteresting,2026-04-10 09:03:35
47705802,Show HN: Mdpdf a 2k line C CLI to convert Markdown to tiny PDFs,entertainment,7,2,bastscho,2026-04-10 09:03:44
47666398,Show HN: A (marginally) useful x86-64 ELF executable in 301 bytes,entertainment,62,18,meribold,2026-04-10 09:03:53
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,135,154,latchkey,2026-04-10 09:03:55
47696562,Show HN: Is Hormuz open yet?,entertainment,452,197,anonfunction,2026-04-10 09:03:59
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,61,12,rvitorper,2026-04-10 09:04:05
47704260,Show HN: Zoneless – Open-source Stripe Connect clone with $0.002 fees using USDC,entertainment,12,6,tinyprojects,2026-04-10 09:04:07
47657204,Show HN: We built a camera only robot vacuum for less than $300 (well almost),entertainment,106,55,indraneelpatil,2026-04-10 09:04:10
47705780,Show HN: BrokenClaw Part 5: GPT-5.4 Edition (Prompt Injection),entertainment,8,1,veganmosfet,2026-04-10 09:04:17
47661038,Show HN: I built a navigation app that displays weather along the route,entertainment,55,25,vkatluri,2026-04-10 09:04:18
47673360,Show HN: Brutalist Concrete Laptop Stand (2024),entertainment,779,235,sam-bee,2026-04-10 09:04:22
47681112,Show HN: An interactive map of Tolkien's Middle-earth,entertainment,285,69,frasermarlow,2026-04-10 09:04:45
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,entertainment,230,27,MediaSquirrel,2026-04-10 09:05:00
47674027,Show HN: A cartographer's attempt to realistically map Tolkien's world,entertainment,162,31,intofarlands,2026-04-10 09:05:13
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,465,199,MattHart88,2026-04-10 09:05:16
47707158,DIY MacBook Neo upgrade can boost the SSD to 1TB using iPhone parts,entertainment,8,1,alwillis,2026-04-10 09:05:21
47708340,Amazon upsets eBook lovers by ending support for old Kindle devices,entertainment,5,0,devonnull,2026-04-10 09:05:34
47691174,Show HN: Explore the Silk Roads through an interactive map,entertainment,47,6,intofarlands,2026-04-10 09:05:39
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,100,17,Sean-Der,2026-04-10 09:05:41
